"predictor","IRR","ci_low","ci_high","cluster_label","cluster","p_IRR_gt_1","vulnerability_score","n.x","svi_score","poverty_rate","median_income","education_low","pct_age17","pct_age65","uninsured_rate","language_isolation","disability_rate","outdoor_worker_rate","renter_burden_rate","housing_overcrowding","alt_housing_rate","n.y","pct_white","pct_black","pct_asian","pct_hispanic"
"cluster",3.41263145400726,2.95162249184773,3.94560420279418,"White / Older / Low income",2,1,0.539744572158365,165,0.3561,0.213246142837875,39890,0.109200109200109,0.138674474314613,0.27495342028214,0.0725877270012997,0,0.227819852379847,0.14738475177305,0.488461538461538,0,0.197892278499489,165,0.819035424669228,0,0,0.0724233983286908
"cluster",2.63694524681415,2.2093153931833,3.14731112274344,"Hispanic & White / Mid-low income",10,1,0.652220388032934,47,0.5719,0.174406047516199,48922.5,0.288758265980896,0.249590834697218,0.142857142857143,0.117305458768873,0.123287671232877,0.154838709677419,0.334152334152334,0.296296296296296,0,0.155807365439093,47,0.406705539358601,0,0.00196206671026815,0.457808478938101
"cluster",1.93050203458393,1.53045443988148,2.43509038850358,"White / Mid-low income",17,0.999999986091591,0.586002212187557,21,0.4871,0.13921433494142,62385.5,0.154989384288747,0.228448275862069,0.162217659137577,0.15622641509434,0.0503826530612245,0.0917543430389038,0.207547169811321,0.473826714801444,0,0.112,21,0.609777015437393,0.000349711488022382,0.00754716981132075,0.293584905660377
"cluster",1.65589727954639,1.43829192681702,1.90640648714336,"White / Older / Mid-low income",6,0.999999999998889,0.523935574395998,121,0.3883,0.129114420062696,58073,0.0791869574423036,0.171571072319202,0.261064004865658,0.0641028716743037,0.00706953321712183,0.168212739641311,0.116047144152312,0.510028653295129,0,0.0901486988847584,121,0.823372583870251,0.00398406374501992,0.0120627261761158,0.0987444859178826
"cluster",1.57323077593782,1.35050308195027,1.83267510626287,"White / Low income",1,0.999999997072048,0.651256372167024,59,0.7409,0.23086319218241,42332,0.170123972014238,0.231491384432561,0.189252336448598,0.0862981686379245,0.0320620676762012,0.198019801980198,0.128349470839901,0.527044025157233,0.00155535224153705,0.175144205558469,59,0.672015867291742,0.0132683735876438,0.0135376708502477,0.19271948608137
"cluster",1.22979609128113,1.05682114274747,1.43106759252417,"White / Older / High income",14,0.996273786549228,0.382031510286523,92,0.1421,0.0699411875882464,91500.5,0.0379975888803627,0.160589873065012,0.246829217889189,0.0365058786397047,0.00319226277922176,0.115772277727319,0.0996724890829694,0.451339167329621,0,0.0303473647623447,92,0.821663077027884,0.00322973748388932,0.0152871624650228,0.0934622287969982
"cluster",1.05412698464466,0.917440300843879,1.21117199920145,"Hispanic / Younger / Low income",3,0.771648084293494,0.728392206335856,123,0.8719,0.25065274151436,42931,0.405840748345882,0.307418666321713,0.0966143355534412,0.116924580550578,0.193977220635424,0.112604263206673,0.282233850905036,0.507829977628635,0.00554016620498615,0.0702709097361883,123,0.164777275661717,0.00763210659077679,0.0153698366954851,0.740923033026607
"cluster",1.04549818142329,0.897254029717712,1.21822481808582,"White / Mid-high income",13,0.715863746114571,0.57736752692836,53,0.5439,0.0980127339378738,75969,0.161295694895495,0.241503590784099,0.152500951503375,0.0778946695232309,0.0775981524249423,0.110720150129017,0.159157894736842,0.430379746835443,0.00274581589958159,0.0715843857634902,53,0.549825783972125,0.00683060109289617,0.0310930399425975,0.363531543403064
"cluster",1,1,1,"White / High income",8,NA,0.250901979565773,174,0.1725,0.0485019074989822,130246,0.0330431747627982,0.226619335819869,0.157131917598654,0.0291596590401095,0.0244585540267539,0.075761551353906,0.0340599168908795,0.428151534944481,0.000741187355039081,0.00175752452853493,174,0.614719749711539,0.0171077328863064,0.176829889918944,0.103283063657154
"cluster",0.722857199183951,0.626675493759047,0.833792141089979,"White / Mid-high income",7,4.15045394197566e-06,0.471946030081806,74,0.47895,0.098927185461939,79506.5,0.0844592192205594,0.211541208188374,0.162478055318153,0.0584075484607546,0.0336228028037361,0.115696488376983,0.078362402448549,0.516380514356137,0.00196913221027702,0.0341722837277505,74,0.621221106581579,0.0221307550754705,0.0563501299001378,0.242515389293484
"cluster",0.714147212034618,0.57708371898001,0.883760860199726,"White / Low income",19,0.000974336382773777,0.453108800991661,17,0.5994,0.277014127529591,47422,0.0701754385964912,0.150780078957924,0.126760563380282,0.0674690625529751,0.0271735819167733,0.0984189891758289,0.0556575787540613,0.606175304871417,0.00427065260910183,0.027027027027027,17,0.651580459770115,0.021551724137931,0.0593000282246684,0.17948240055381
"cluster",0.655988826102014,0.560382592020188,0.767894755959863,"Mixed racial composition / Mid-low income",12,7.66321475165199e-08,0.48860153256705,41,0.7766,0.202350146576812,52615.5,0.164444444444444,0.153457849570924,0.153024109183378,0.100205066578907,0.121396334162292,0.135901732991497,0.0455192425109312,0.542206813087925,0.00617444158621469,0.0022798827488872,41,0.349502687739402,0.0639899037113209,0.155235042735043,0.240051671445225
"cluster",0.651773736666191,0.56259934444502,0.755072215947655,"White / Mid-high income",16,5.80680936668188e-09,0.316840988051172,59,0.4357,0.115021261442427,80938,0.0590749920414753,0.14136260481885,0.149006155725765,0.0598869391120009,0.0399844014038737,0.100736698499318,0.0318620612689024,0.482240139463936,0.0022793878215565,0.00139225493734853,59,0.54374185136897,0.0473256481604169,0.125497308682425,0.137030559919376
"cluster",0.644607341232254,0.558791353016481,0.743592535324941,"Hispanic & White / Mid-low income",15,8.33279112377738e-10,0.593571599616858,70,0.76435,0.179449745762701,55878.5,0.165962355314741,0.257974093169325,0.128684184802258,0.0844043370843597,0.0633084963030192,0.133789277900826,0.0995394889684575,0.511075372112107,0.00351298544920997,0.0430099284783169,70,0.433414123543649,0.0596958365707364,0.0525804568348606,0.385608346732947
"cluster",0.628503026685983,0.546119375639634,0.723303942963917,"White / High income",20,4.53059811889034e-11,0.367772526889166,83,0.362,0.0677449005534586,99519,0.0678127449882406,0.195206770855156,0.185447859206724,0.0477408354646206,0.0362452389728468,0.098599336527829,0.0569963587723861,0.4826,0.00105675390066513,0.00786331424133579,83,0.6271487508595,0.0185753351564063,0.116233208825372,0.180822301884525
"cluster",0.603833858056062,0.528318274758201,0.690134689992275,"White / High income",8,NA,0.250901979565773,174,0.1725,0.0485019074989822,130246,0.0330431747627982,0.226619335819869,0.157131917598654,0.0291596590401095,0.0244585540267539,0.075761551353906,0.0340599168908795,0.428151534944481,0.000741187355039081,0.00175752452853493,174,0.614719749711539,0.0171077328863064,0.176829889918944,0.103283063657154
"cluster",0.581318594515533,0.505611326837099,0.668354517994359,"Hispanic / Younger / Low income",5,1.23234755733392e-14,0.678125514975487,93,0.952,0.277162694689435,40853,0.379923903312444,0.285291324507011,0.088030303030303,0.148511612692182,0.205474847817157,0.106733862320395,0.0965591397849462,0.605834025662328,0.0200359829898593,0.0104784499802293,93,0.0772324936923522,0.0649880275366657,0.0301163586584531,0.652387663465635
"cluster",0.565797542398436,0.493856723414309,0.648210116268268,"Hispanic & White / Mid-high income",18,1.11022302462516e-16,0.476090062461766,119,0.6088,0.102904798925719,79500,0.143903459821429,0.216305893506083,0.134199456501508,0.0739362691684163,0.0828304233657346,0.0960579418678915,0.0647522812806104,0.526429010448679,0.00556070435588508,0.0174081237911025,119,0.312098605254622,0.0333392691082487,0.144338260026513,0.362900773451444
"cluster",0.536305284716759,0.463656061068555,0.620329196866086,"White / High income",11,0,0.396308977567668,62,0.32925,0.0594149538052477,103805.5,0.085771602513055,0.253221035261227,0.119134870241021,0.048192498843226,0.0435497587184316,0.0900401161834949,0.0673916320612178,0.476361366463345,0.0023119263838187,0.024080285854483,62,0.455170384091895,0.0406651544487503,0.155430656949628,0.282822944368474
"cluster",0.490798468171308,0.42902277318297,0.561461450010231,"Hispanic / Mid-low income",4,0,0.609848677424108,130,0.8436,0.157915881089952,60146,0.253461185478324,0.243325687260036,0.108582820107187,0.122787386692116,0.148955839601489,0.100420423008742,0.0825398012418622,0.581909375599415,0.0115457744292752,0.0267245200998133,130,0.175004909765709,0.0350119654362674,0.093512999155079,0.593865954391077
